Team,W,Played,Win_Percentage
Brisbane,139.0,240.0,0.5791666666666667
Bulldogs,126.0,240.0,0.525
Canberra,110.0,240.0,0.4583333333333333
Cronulla,113.0,240.0,0.4708333333333333
Gold Coast Titans,104.0,240.0,0.43333333333333335
Manly Warringah,141.0,240.0,0.5875
Melbourne,164.0,240.0,0.6833333333333333
Newcastle,93.0,240.0,0.3875
North Queensland,121.0,240.0,0.5041666666666667
Parramatta,100.0,240.0,0.4166666666666667
Penrith,115.0,240.0,0.4791666666666667
South Sydney,121.0,240.0,0.5041666666666667
St George Illawarra,124.0,240.0,0.5166666666666667
Sydney,127.0,240.0,0.5291666666666667
Warriors,105.0,240.0,0.4375
Wests Tigers,107.0,240.0,0.44583333333333336
