Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,date_time,HomeWin,SOO,Home_w_percent,Away_w_percent,Period
2008,Round 1,Fri,Mar-14,7:30pm,Gold Coast Titans,36,North Queensland,18,S. Hayne,Skilled Park,26974,2008-03-14 19:30:00,1.0,False,0.5,0.5,Pre
2008,Round 1,Fri,Mar-14,7:30pm,South Sydney,20,Sydney,34,T. Archer,ANZ,29386,2008-03-14 19:30:00,0.0,False,0.5,0.5,Pre
2008,Round 1,Sat,Mar-15,7:30pm,Manly Warringah,10,Cronulla,16,J. Maxwell,Brookvale,15424,2008-03-15 19:30:00,0.0,False,0.5,0.5,Pre
2008,Round 1,Sat,Mar-15,7:30pm,Newcastle,30,Canberra,14,T. De Las Heras,EnergyAustralia,17233,2008-03-15 19:30:00,1.0,False,0.5,0.5,Pre
2008,Round 1,Sat,Mar-15,5:30pm,Parramatta,28,Bulldogs,20,J. Robinson,ANZ,25065,2008-03-15 17:30:00,1.0,False,0.5,0.5,Pre
2008,Round 1,Sun,Mar-16,1:00pm,Brisbane,48,Penrith,12,G. Badger,Suncorp,31250,2008-03-16 13:00:00,1.0,False,0.5,0.5,Pre
2008,Round 1,Sun,Mar-16,3:00pm,Wests Tigers,24,St George Illawarra,16,S. Hampstead,SFS,18211,2008-03-16 15:00:00,1.0,False,0.5,0.5,Pre
2008,Round 1,Mon,Mar-17,7:00pm,Melbourne,32,Warriors,18,B. Cummins,Telstra Dome,20084,2008-03-17 19:00:00,1.0,False,0.5,0.5,Pre
2008,Round 2,Fri,Mar-21,7:30pm,South Sydney,12,Bulldogs,25,S. Hampstead,ANZ,21839,2008-03-21 19:30:00,0.0,False,0.0,0.0,Pre
2008,Round 2,Fri,Mar-21,7:30pm,Sydney,14,Brisbane,20,J. Maxwell,SFS,18724,2008-03-21 19:30:00,0.0,False,1.0,1.0,Pre
2008,Round 2,Sat,Mar-22,7:30pm,Newcastle,13,Manly Warringah,12,B. Cummins,EnergyAustralia,18117,2008-03-22 19:30:00,1.0,False,1.0,0.0,Pre
2008,Round 2,Sat,Mar-22,8:30pm,North Queensland,10,Wests Tigers,30,T. De Las Heras,Dairy Farmers,20655,2008-03-22 20:30:00,0.0,False,0.0,1.0,Pre
2008,Round 2,Sat,Mar-22,5:30pm,Penrith,16,Canberra,20,J. Robinson,CUA Stadium,7503,2008-03-22 17:30:00,0.0,False,0.0,0.0,Pre
2008,Round 2,Sun,Mar-23,3:00pm,Melbourne,16,Cronulla,17,T. Archer,Olympic Park,10720,2008-03-23 15:00:00,0.0,False,1.0,1.0,Pre
2008,Round 2,Sun,Mar-23,4:00pm,Warriors,30,Parramatta,16,S. Hayne,Mt Smart,15250,2008-03-23 16:00:00,1.0,False,0.0,1.0,Pre
2008,Round 2,Mon,Mar-24,7:00pm,St George Illawarra,30,Gold Coast Titans,12,G. Badger,WIN Stadium,10521,2008-03-24 19:00:00,1.0,False,0.0,1.0,Pre
2008,Round 3,Fri,Mar-28,7:30pm,Brisbane,36,North Queensland,2,B. Cummins,Suncorp,50612,2008-03-28 19:30:00,1.0,False,1.0,0.0,Pre
2008,Round 3,Fri,Mar-28,7:30pm,Parramatta,24,Newcastle,23,T. Archer,Parramatta,15176,2008-03-28 19:30:00,1.0,False,0.5,1.0,Pre
2008,Round 3,Sat,Mar-29,7:30pm,Canberra,21,St George Illawarra,14,G. Badger,Canberra Stadium,14400,2008-03-29 19:30:00,1.0,False,0.5,0.5,Pre
2008,Round 3,Sat,Mar-29,8:30pm,Gold Coast Titans,18,Cronulla,4,J. Robinson,Skilled Park,19050,2008-03-29 20:30:00,1.0,False,0.5,1.0,Pre
2008,Round 3,Sat,Mar-29,5:30pm,Sydney,10,Melbourne,6,S. Hayne,SFS,12137,2008-03-29 17:30:00,1.0,False,0.5,0.5,Pre
2008,Round 3,Sun,Mar-30,3:00pm,Bulldogs,32,Wests Tigers,12,J. Maxwell,ANZ,21546,2008-03-30 15:00:00,1.0,False,0.5,1.0,Pre
2008,Round 3,Sun,Mar-30,2:00pm,Penrith,26,South Sydney,22,T. De Las Heras,CUA Stadium,10839,2008-03-30 14:00:00,1.0,False,0.0,0.0,Pre
2008,Round 3,Mon,Mar-31,7:00pm,Manly Warringah,52,Warriors,6,S. Hampstead,Brookvale,10175,2008-03-31 19:00:00,1.0,False,0.0,0.5,Pre
2008,Round 4,Fri,Apr-4,7:30pm,Bulldogs,12,Sydney,40,T. Archer,ANZ,36526,2008-04-04 19:30:00,0.0,False,0.6666666666666666,0.6666666666666666,Pre
2008,Round 4,Fri,Apr-4,7:30pm,Melbourne,28,Brisbane,8,J. Maxwell,Olympic Park,13831,2008-04-04 19:30:00,1.0,False,0.3333333333333333,1.0,Pre
2008,Round 4,Sat,Apr-5,6:30pm,Gold Coast Titans,32,Canberra,12,B. Cummins,Skilled Park,17381,2008-04-05 18:30:00,1.0,False,0.6666666666666666,0.6666666666666666,Pre
2008,Round 4,Sat,Apr-5,8:30pm,North Queensland,38,Parramatta,14,B. Sutton,Dairy Farmers,19231,2008-04-05 20:30:00,1.0,False,0.0,0.6666666666666666,Pre
2008,Round 4,Sat,Apr-5,5:30pm,St George Illawarra,16,Cronulla,18,S. Hampstead,ANZ,15318,2008-04-05 17:30:00,0.0,False,0.3333333333333333,0.6666666666666666,Pre
2008,Round 4,Sun,Apr-6,3:00pm,Manly Warringah,20,South Sydney,2,S. Hayne,Brookvale,14426,2008-04-06 15:00:00,1.0,False,0.3333333333333333,0.0,Pre
2008,Round 4,Sun,Apr-6,4:00pm,Warriors,26,Newcastle,20,T. De Las Heras,Mt Smart,11518,2008-04-06 16:00:00,1.0,False,0.3333333333333333,0.6666666666666666,Pre
2008,Round 4,Mon,Apr-7,7:00pm,Wests Tigers,8,Penrith,30,J. Robinson,Campbelltown,11898,2008-04-07 19:00:00,0.0,False,0.6666666666666666,0.3333333333333333,Pre
2008,Round 5,Fri,Apr-11,7:30pm,Melbourne,26,Manly Warringah,4,T. Archer,Olympic Park,13632,2008-04-11 19:30:00,1.0,False,0.5,0.5,Pre
2008,Round 5,Fri,Apr-11,7:30pm,Parramatta,20,Gold Coast Titans,28,J. Maxwell,Parramatta,13321,2008-04-11 19:30:00,0.0,False,0.5,0.75,Pre
2008,Round 5,Sat,Apr-12,5:30pm,Penrith,12,Sydney,28,B. Sutton,CUA Stadium,16294,2008-04-12 17:30:00,0.0,False,0.5,0.75,Pre
2008,Round 5,Sat,Apr-12,5:30pm,St George Illawarra,16,North Queensland,20,T. De Las Heras,WIN Stadium,11639,2008-04-12 17:30:00,0.0,False,0.25,0.25,Pre
2008,Round 5,Sun,Apr-13,2:00pm,Canberra,30,Wests Tigers,24,S. Hampstead,Canberra Stadium,12240,2008-04-13 14:00:00,1.0,False,0.5,0.5,Pre
2008,Round 5,Sun,Apr-13,3:00pm,Newcastle,22,Brisbane,34,S. Hayne,EnergyAustralia,21614,2008-04-13 15:00:00,0.0,False,0.5,0.75,Pre
2008,Round 5,Sun,Apr-13,2:00pm,Warriors,36,Bulldogs,16,B. Cummins,Mt Smart,15912,2008-04-13 14:00:00,1.0,False,0.5,0.5,Pre
2008,Round 5,Mon,Apr-14,7:00pm,South Sydney,10,Cronulla,12,J. Robinson,ANZ,12988,2008-04-14 19:00:00,0.0,False,0.0,0.75,Pre
2008,Round 6,Fri,Apr-18,7:30pm,Gold Coast Titans,26,Brisbane,24,T. Archer,Skilled Park,27176,2008-04-18 19:30:00,1.0,False,0.8,0.8,Pre
2008,Round 6,Fri,Apr-18,7:30pm,Parramatta,16,Manly Warringah,20,S. Hayne,Parramatta,14025,2008-04-18 19:30:00,0.0,False,0.4,0.4,Pre
2008,Round 6,Sat,Apr-19,5:30pm,Bulldogs,30,St George Illawarra,18,B. Sutton,ANZ,14764,2008-04-19 17:30:00,1.0,False,0.4,0.2,Pre
2008,Round 6,Sat,Apr-19,7:30pm,Cronulla,20,Penrith,21,S. Hampstead,Toyota,13852,2008-04-19 19:30:00,0.0,False,0.8,0.4,Pre
2008,Round 6,Sat,Apr-19,7:30pm,North Queensland,48,Warriors,20,J. Robinson,Dairy Farmers,20544,2008-04-19 19:30:00,1.0,False,0.4,0.6,Pre
2008,Round 6,Sun,Apr-20,2:00pm,Sydney,20,Newcastle,34,S. Lyons,Central Coast,14176,2008-04-20 14:00:00,0.0,False,0.8,0.4,Pre
