Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,delete
2008,Round 1,Fri,Mar 14th,7:30pm,Gold Coast Titans,36,North Queensland,18,S. Hayne,Skilled Park,"26,974",
2008,Round 1,Fri,Mar 14th,7:30pm,South Sydney,20,Sydney,34,T. Archer,ANZ,"29,386",
2008,Round 1,Sat,Mar 15th,7:30pm,Manly Warringah,10,Cronulla,16,J. Maxwell,Brookvale,"15,424",
2008,Round 1,Sat,Mar 15th,7:30pm,Newcastle,30,Canberra,14,T. De Las Heras,EnergyAustralia,"17,233",
2008,Round 1,Sat,Mar 15th,5:30pm,Parramatta,28,Bulldogs,20,J. Robinson,ANZ,"25,065",
2008,Round 1,Sun,Mar 16th,1:00pm,Brisbane,48,Penrith,12,G. Badger,Suncorp,"31,250",
2008,Round 1,Sun,Mar 16th,3:00pm,Wests Tigers,24,St George Illawarra,16,S. Hampstead,SFS,"18,211",
2008,Round 1,Mon,Mar 17th,7:00pm,Melbourne,32,Warriors,18,B. Cummins,Telstra Dome,"20,084",
2008,Round 2,Fri,Mar 21st,7:30pm,South Sydney,12,Bulldogs,25,S. Hampstead,ANZ,"21,839",
2008,Round 2,Fri,Mar 21st,7:30pm,Sydney,14,Brisbane,20,J. Maxwell,SFS,"18,724",
2008,Round 2,Sat,Mar 22nd,7:30pm,Newcastle,13,Manly Warringah,12,B. Cummins,EnergyAustralia,"18,117",
2008,Round 2,Sat,Mar 22nd,8:30pm,North Queensland,10,Wests Tigers,30,T. De Las Heras,Dairy Farmers,"20,655",
2008,Round 2,Sat,Mar 22nd,5:30pm,Penrith,16,Canberra,20,J. Robinson,CUA Stadium,"7,503",
2008,Round 2,Sun,Mar 23rd,3:00pm,Melbourne,16,Cronulla,17,T. Archer,Olympic Park,"10,720",
2008,Round 2,Sun,Mar 23rd,4:00pm,Warriors,30,Parramatta,16,S. Hayne,Mt Smart,"15,250",
2008,Round 2,Mon,Mar 24th,7:00pm,St George Illawarra,30,Gold Coast Titans,12,G. Badger,WIN Stadium,"10,521",
2008,Round 3,Fri,Mar 28th,7:30pm,Brisbane,36,North Queensland,2,B. Cummins,Suncorp,"50,612",
2008,Round 3,Fri,Mar 28th,7:30pm,Parramatta,24,Newcastle,23,T. Archer,Parramatta,"15,176",
2008,Round 3,Sat,Mar 29th,7:30pm,Canberra,21,St George Illawarra,14,G. Badger,Canberra Stadium,"14,400",
2008,Round 3,Sat,Mar 29th,8:30pm,Gold Coast Titans,18,Cronulla,4,J. Robinson,Skilled Park,"19,050",
2008,Round 3,Sat,Mar 29th,5:30pm,Sydney,10,Melbourne,6,S. Hayne,SFS,"12,137",
2008,Round 3,Sun,Mar 30th,3:00pm,Bulldogs,32,Wests Tigers,12,J. Maxwell,ANZ,"21,546",
2008,Round 3,Sun,Mar 30th,2:00pm,Penrith,26,South Sydney,22,T. De Las Heras,CUA Stadium,"10,839",
2008,Round 3,Mon,Mar 31st,7:00pm,Manly Warringah,52,Warriors,6,S. Hampstead,Brookvale,"10,175",
2008,Round 4,Fri,Apr 4th,7:30pm,Bulldogs,12,Sydney,40,T. Archer,ANZ,"36,526",
2008,Round 4,Fri,Apr 4th,7:30pm,Melbourne,28,Brisbane,8,J. Maxwell,Olympic Park,"13,831",
2008,Round 4,Sat,Apr 5th,6:30pm,Gold Coast Titans,32,Canberra,12,B. Cummins,Skilled Park,"17,381",
2008,Round 4,Sat,Apr 5th,8:30pm,North Queensland,38,Parramatta,14,B. Sutton,Dairy Farmers,"19,231",
2008,Round 4,Sat,Apr 5th,5:30pm,St George Illawarra,16,Cronulla,18,S. Hampstead,ANZ,"15,318",
2008,Round 4,Sun,Apr 6th,3:00pm,Manly Warringah,20,South Sydney,2,S. Hayne,Brookvale,"14,426",
2008,Round 4,Sun,Apr 6th,4:00pm,Warriors,26,Newcastle,20,T. De Las Heras,Mt Smart,"11,518",
2008,Round 4,Mon,Apr 7th,7:00pm,Wests Tigers,8,Penrith,30,J. Robinson,Campbelltown,"11,898",
2008,Round 5,Fri,Apr 11th,7:30pm,Melbourne,26,Manly Warringah,4,T. Archer,Olympic Park,"13,632",
2008,Round 5,Fri,Apr 11th,7:30pm,Parramatta,20,Gold Coast Titans,28,J. Maxwell,Parramatta,"13,321",
2008,Round 5,Sat,Apr 12th,5:30pm,Penrith,12,Sydney,28,B. Sutton,CUA Stadium,"16,294",
2008,Round 5,Sat,Apr 12th,5:30pm,St George Illawarra,16,North Queensland,20,T. De Las Heras,WIN Stadium,"11,639",
2008,Round 5,Sun,Apr 13th,2:00pm,Canberra,30,Wests Tigers,24,S. Hampstead,Canberra Stadium,"12,240",
2008,Round 5,Sun,Apr 13th,3:00pm,Newcastle,22,Brisbane,34,S. Hayne,EnergyAustralia,"21,614",
2008,Round 5,Sun,Apr 13th,2:00pm,Warriors,36,Bulldogs,16,B. Cummins,Mt Smart,"15,912",
2008,Round 5,Mon,Apr 14th,7:00pm,South Sydney,10,Cronulla,12,J. Robinson,ANZ,"12,988",
2008,Round 6,Fri,Apr 18th,7:30pm,Gold Coast Titans,26,Brisbane,24,T. Archer,Skilled Park,"27,176",
2008,Round 6,Fri,Apr 18th,7:30pm,Parramatta,16,Manly Warringah,20,S. Hayne,Parramatta,"14,025",
2008,Round 6,Sat,Apr 19th,5:30pm,Bulldogs,30,St George Illawarra,18,B. Sutton,ANZ,"14,764",
2008,Round 6,Sat,Apr 19th,7:30pm,Cronulla,20,Penrith,21,S. Hampstead,Toyota,"13,852",
2008,Round 6,Sat,Apr 19th,7:30pm,North Queensland,48,Warriors,20,J. Robinson,Dairy Farmers,"20,544",
2008,Round 6,Sun,Apr 20th,2:00pm,Sydney,20,Newcastle,34,S. Lyons,Central Coast,"14,176",
2008,Round 6,Sun,Apr 20th,3:00pm,Wests Tigers,30,South Sydney,10,B. Cummins,SCG,"19,122",
2008,Round 6,Mon,Apr 21st,7:00pm,Canberra,16,Melbourne,23,J. Maxwell,Canberra Stadium,"15,550",
2008,Round 7,Fri,Apr 25th,7:45pm,Brisbane,32,South Sydney,18,J. Robinson,Suncorp,"34,112",
2008,Round 7,Fri,Apr 25th,3:15pm,St George Illawarra,26,Sydney,6,S. Hampstead,ANZ,"21,596",
2008,Round 7,Sat,Apr 26th,5:30pm,Manly Warringah,30,Bulldogs,22,T. Archer,Brookvale,"15,229",
2008,Round 7,Sat,Apr 26th,7:30pm,North Queensland,10,Melbourne,12,G. Badger,Dairy Farmers,"24,053",
2008,Round 7,Sun,Apr 27th,3:00pm,Cronulla,16,Wests Tigers,20,S. Hayne,Toyota,"17,241",
2008,Round 7,Sun,Apr 27th,2:00pm,Gold Coast Titans,36,Warriors,24,S. Lyons,Skilled Park,"25,310",
2008,Round 8,Sat,May 3rd,5:30pm,Newcastle,13,Gold Coast Titans,12,G. Badger,EnergyAustralia,"21,280",
2008,Round 8,Sat,May 3rd,7:30pm,Penrith,18,Parramatta,26,B. Cummins,CUA Stadium,"18,724",
2008,Round 8,Sat,May 3rd,8:30pm,Wests Tigers,22,Brisbane,34,T. Archer,ANZ,"11,177",
2008,Round 8,Sun,May 4th,3:00pm,South Sydney,28,North Queensland,24,S. Hayne,ANZ,"9,818",
2008,Round 8,Sun,May 4th,4:00pm,Warriors,14,Canberra,6,S. Hampstead,Mt Smart,"7,358",
2008,Round 9,Sat,May 10th,7:30pm,Bulldogs,4,Penrith,30,J. Maxwell,ANZ,"10,257",
2008,Round 9,Sat,May 10th,7:30pm,North Queensland,18,Cronulla,24,T. Archer,Dairy Farmers,"17,065",
2008,Round 9,Sat,May 10th,5:30pm,Sydney,30,Canberra,4,J. Robinson,SFS,"10,241",
2008,Round 9,Sun,May 11th,2:00pm,Brisbane,12,Manly Warringah,30,S. Hayne,Suncorp,"27,469",
2008,Round 9,Sun,May 11th,3:00pm,Parramatta,19,St George Illawarra,18,S. Hampstead,Parramatta,"16,313",
2008,Round 9,Mon,May 12th,7:00pm,Melbourne,18,Newcastle,4,B. Cummins,Olympic Park,"10,624",
2008,Round 10,Fri,May 16th,7:45pm,Gold Coast Titans,24,Bulldogs,20,J. Robinson,Skilled Park,"22,676",
2008,Round 10,Fri,May 16th,7:45pm,Parramatta,12,Sydney,32,S. Hayne,Parramatta,"16,211",
2008,Round 10,Sat,May 17th,5:30pm,Cronulla,13,Brisbane,6,J. Maxwell,Toyota,"13,431",
2008,Round 10,Sat,May 17th,7:30pm,Manly Warringah,38,North Queensland,6,B. Cummins,Central Coast,"9,343",
2008,Round 10,Sat,May 17th,7:30pm,St George Illawarra,36,Melbourne,12,P. Haines,ANZ,"6,881",
2008,Round 10,Sun,May 18th,3:00pm,Newcastle,26,Wests Tigers,38,S. Hampstead,EnergyAustralia,"20,154",
2008,Round 10,Sun,May 18th,2:00pm,Penrith,46,Warriors,22,T. De Las Heras,CUA Stadium,"9,450",
2008,Round 10,Mon,May 19th,7:00pm,Canberra,38,South Sydney,10,G. Badger,Canberra Stadium,"11,115",
2008,Round 11,Fri,May 23rd,7:45pm,Manly Warringah,18,St George Illawarra,20,J. Robinson,Brookvale,"12,058",
2008,Round 11,Sat,May 24th,7:30pm,South Sydney,10,Melbourne,15,J. Maxwell,Central Coast,"8,761",
2008,Round 11,Sun,May 25th,4:00pm,Warriors,12,Sydney,38,B. Cummins,Mt Smart,"11,922",
2008,Round 11,Sun,May 25th,3:00pm,Wests Tigers,20,Gold Coast Titans,18,S. Hayne,Leichhardt,"17,493",
2008,Round 11,Mon,May 26th,7:00pm,Bulldogs,30,Cronulla,22,T. Archer,ANZ,"9,289",
2008,Round 12,Fri,May 30th,7:45pm,Brisbane,30,Parramatta,26,J. Robinson,Suncorp,"25,564",
2008,Round 12,Fri,May 30th,7:45pm,Canberra,18,Manly Warringah,31,S. Hampstead,Canberra Stadium,"13,120",
2008,Round 12,Sat,May 31st,5:30pm,Melbourne,46,Bulldogs,0,S. Hayne,Olympic Park,"12,251",
2008,Round 12,Sat,May 31st,7:30pm,Newcastle,16,Warriors,18,J. Maxwell,EnergyAustralia,"15,489",
2008,Round 12,Sat,May 31st,7:30pm,North Queensland,18,Penrith,19,A. Shortall,Dairy Farmers,"16,553",
2008,Round 12,Sun,Jun 1st,3:00pm,Cronulla,30,Gold Coast Titans,14,B. Cummins,Toyota,"8,214",
2008,Round 12,Sun,Jun 1st,2:00pm,South Sydney,12,St George Illawarra,26,G. Badger,ANZ,"12,978",
2008,Round 12,Mon,Jun 2nd,7:00pm,Sydney,19,Wests Tigers,10,T. Archer,SFS,"15,204",
2008,Round 13,Fri,Jun 6th,7:45pm,St George Illawarra,28,Brisbane,10,B. Cummins,WIN Stadium,"11,432",
2008,Round 13,Fri,Jun 6th,8:00pm,Warriors,28,South Sydney,35,T. De Las Heras,Mt Smart,"13,112",
2008,Round 13,Sat,Jun 7th,5:30pm,Bulldogs,12,Newcastle,22,S. Hampstead,ANZ,"9,565",
2008,Round 13,Sat,Jun 7th,7:30pm,Parramatta,30,Canberra,12,A. Shortall,Parramatta,"10,195",
2008,Round 13,Sat,Jun 7th,7:30pm,Wests Tigers,40,North Queensland,16,G. Badger,Campbelltown,"10,488",
2008,Round 13,Sun,Jun 8th,3:00pm,Manly Warringah,42,Sydney,0,S. Hayne,Brookvale,"13,842",
2008,Round 13,Sun,Jun 8th,2:00pm,Penrith,22,Cronulla,24,J. Maxwell,CUA Stadium,"10,543",
2008,Round 13,Mon,Jun 9th,7:00pm,Gold Coast Titans,18,Melbourne,0,J. Robinson,Skilled Park,"19,409",
2008,Round 14,Fri,Jun 13th,7:45pm,Sydney,32,Penrith,12,S. Hampstead,SFS,"9,724",
2008,Round 14,Sat,Jun 14th,7:30pm,Cronulla,24,Warriors,8,B. Cummins,Toyota,"9,023",
2008,Round 14,Sun,Jun 15th,2:00pm,Canberra,34,Brisbane,16,J. Robinson,Canberra Stadium,"11,157",
2008,Round 14,Sun,Jun 15th,3:00pm,Wests Tigers,6,Parramatta,44,T. Archer,ANZ,"22,107",
2008,Round 14,Mon,Jun 16th,7:00pm,North Queensland,18,Newcastle,30,S. Hayne,Dairy Farmers,"14,234",
2008,Round 15,Fri,Jun 20th,7:45pm,Brisbane,19,Wests Tigers,18,S. Hampstead,Suncorp,"27,864",
2008,Round 15,Fri,Jun 20th,7:45pm,St George Illawarra,13,Penrith,12,J. Maxwell,ANZ,"9,032",
2008,Round 15,Sat,Jun 21st,5:30pm,Bulldogs,18,Canberra,58,G. Badger,ANZ,"9,845",
2008,Round 15,Sat,Jun 21st,7:30pm,Melbourne,48,North Queensland,20,B. Sutton,Olympic Park,"10,880",
2008,Round 15,Sun,Jun 22nd,3:00pm,Cronulla,16,Parramatta,14,S. Hayne,Toyota,"17,547",
