year_prem,variable,value
2008-Manly Warringah,prem_for,645.0
2009-Melbourne,prem_for,505.0
2010-St George Illawarra,prem_for,518.0
2011-Manly Warringah,prem_for,539.0
2012-Melbourne,prem_for,579.0
2013-Sydney,prem_for,640.0
2014-South Sydney,prem_for,585.0
2015-North Queensland,prem_for,587.0
2016-Cronulla,prem_for,580.0
2008-Manly Warringah,prem_againsts,
2009-Melbourne,prem_againsts,
2010-St George Illawarra,prem_againsts,
2011-Manly Warringah,prem_againsts,
2012-Melbourne,prem_againsts,
2013-Sydney,prem_againsts,
2014-South Sydney,prem_againsts,
2015-North Queensland,prem_againsts,
2016-Cronulla,prem_againsts,
2008-Manly Warringah,def_for,549.0
2009-Melbourne,def_for,489.0
2010-St George Illawarra,def_for,483.0
2011-Manly Warringah,def_for,497.0
2012-Melbourne,def_for,589.0
2013-Sydney,def_for,615.0
2014-South Sydney,def_for,465.0
2015-North Queensland,def_for,584.0
2016-Cronulla,def_for,476.0
2008-Manly Warringah,def_againsts,
2009-Melbourne,def_againsts,
2010-St George Illawarra,def_againsts,
2011-Manly Warringah,def_againsts,
2012-Melbourne,def_againsts,
2013-Sydney,def_againsts,
2014-South Sydney,def_againsts,
2015-North Queensland,def_againsts,
2016-Cronulla,def_againsts,
2008-Manly Warringah,prem_for_pre,178.0
2009-Melbourne,prem_for_pre,205.0
2010-St George Illawarra,prem_for_pre,225.0
2011-Manly Warringah,prem_for_pre,206.0
2012-Melbourne,prem_for_pre,296.0
2013-Sydney,prem_for_pre,254.0
2014-South Sydney,prem_for_pre,214.0
2015-North Queensland,prem_for_pre,226.0
2016-Cronulla,prem_for_pre,301.0
2008-Manly Warringah,prem_againsts_predef_for_pre,
2009-Melbourne,prem_againsts_predef_for_pre,
2010-St George Illawarra,prem_againsts_predef_for_pre,
2011-Manly Warringah,prem_againsts_predef_for_pre,
2012-Melbourne,prem_againsts_predef_for_pre,
2013-Sydney,prem_againsts_predef_for_pre,
2014-South Sydney,prem_againsts_predef_for_pre,
2015-North Queensland,prem_againsts_predef_for_pre,
2016-Cronulla,prem_againsts_predef_for_pre,
2008-Manly Warringah,def_againsts_pre,212.0
2009-Melbourne,def_againsts_pre,130.0
2010-St George Illawarra,def_againsts_pre,96.0
2011-Manly Warringah,def_againsts_pre,171.0
2012-Melbourne,def_againsts_pre,168.0
2013-Sydney,def_againsts_pre,169.0
2014-South Sydney,def_againsts_pre,188.0
2015-North Queensland,def_againsts_pre,158.0
2016-Cronulla,def_againsts_pre,146.0
2008-Manly Warringah,prem_for_origin,211.0
2009-Melbourne,prem_for_origin,140.0
2010-St George Illawarra,prem_for_origin,130.0
2011-Manly Warringah,prem_for_origin,160.0
2012-Melbourne,prem_for_origin,104.0
2013-Sydney,prem_for_origin,164.0
2014-South Sydney,prem_for_origin,141.0
2015-North Queensland,prem_for_origin,119.0
2016-Cronulla,prem_for_origin,144.0
2008-Manly Warringah,prem_againsts_origin,84.0
2009-Melbourne,prem_againsts_origin,96.0
2010-St George Illawarra,prem_againsts_origin,68.0
2011-Manly Warringah,prem_againsts_origin,82.0
2012-Melbourne,prem_againsts_origin,114.0
2013-Sydney,prem_againsts_origin,77.0
2014-South Sydney,prem_againsts_origin,72.0
2015-North Queensland,prem_againsts_origin,100.0
2016-Cronulla,prem_againsts_origin,100.0
2008-Manly Warringah,def_for_origin,147.0
2009-Melbourne,def_for_origin,129.0
2010-St George Illawarra,def_for_origin,100.0
2011-Manly Warringah,def_for_origin,156.0
2012-Melbourne,def_for_origin,102.0
2013-Sydney,def_for_origin,163.0
2014-South Sydney,def_for_origin,104.0
2015-North Queensland,def_for_origin,128.0
2016-Cronulla,def_for_origin,118.0
2008-Manly Warringah,def_against_origin,124.0
2009-Melbourne,def_against_origin,122.0
2010-St George Illawarra,def_against_origin,101.0
2011-Manly Warringah,def_against_origin,104.0
2012-Melbourne,def_against_origin,99.0
2013-Sydney,def_against_origin,102.0
2014-South Sydney,def_against_origin,94.0
2015-North Queensland,def_against_origin,95.0
2016-Cronulla,def_against_origin,125.0
2008-Manly Warringah,prem_for_post,256.0
2009-Melbourne,prem_for_post,160.0
2010-St George Illawarra,prem_for_post,163.0
2011-Manly Warringah,prem_for_post,173.0
2012-Melbourne,prem_for_post,179.0
2013-Sydney,prem_for_post,222.0
2014-South Sydney,prem_for_post,230.0
2015-North Queensland,prem_for_post,242.0
2016-Cronulla,prem_for_post,135.0
2008-Manly Warringah,prem_againsts_post,158.0
2009-Melbourne,prem_againsts_post,94.0
2010-St George Illawarra,prem_againsts_post,130.0
2011-Manly Warringah,prem_againsts_post,98.0
2012-Melbourne,prem_againsts_post,126.0
2013-Sydney,prem_againsts_post,128.0
2014-South Sydney,prem_againsts_post,118.0
2015-North Queensland,prem_againsts_post,143.0
2016-Cronulla,prem_againsts_post,134.0
2008-Manly Warringah,def_for_post,204.0
2009-Melbourne,def_for_post,156.0
2010-St George Illawarra,def_for_post,171.0
2011-Manly Warringah,def_for_post,155.0
2012-Melbourne,def_for_post,234.0
2013-Sydney,def_for_post,240.0
2014-South Sydney,def_for_post,165.0
2015-North Queensland,def_for_post,158.0
2016-Cronulla,def_for_post,140.0
2008-Manly Warringah,def_againsts_post,123.0
2009-Melbourne,def_againsts_post,111.0
2010-St George Illawarra,def_againsts_post,144.0
2011-Manly Warringah,def_againsts_post,128.0
2012-Melbourne,def_againsts_post,106.0
2013-Sydney,def_againsts_post,114.0
2014-South Sydney,def_againsts_post,185.0
2015-North Queensland,def_againsts_post,102.0
2016-Cronulla,def_againsts_post,136.0
