year_prem,variable,value
2008-Manly Warringah,prem_w_post_%,0.67
2009-Melbourne,prem_w_post_%,0.57
2010-St George Illawarra,prem_w_post_%,0.62
2011-Manly Warringah,prem_w_post_%,0.75
2012-Melbourne,prem_w_post_%,0.62
2013-Sydney,prem_w_post_%,0.71
2014-South Sydney,prem_w_post_%,0.75
2015-North Queensland,prem_w_post_%,0.62
2016-Cronulla,prem_w_post_%,0.36
2008-Manly Warringah,def_w_post_%,0.71
2009-Melbourne,def_w_post_%,0.62
2010-St George Illawarra,def_w_post_%,0.38
2011-Manly Warringah,def_w_post_%,0.75
2012-Melbourne,def_w_post_%,0.71
2013-Sydney,def_w_post_%,0.88
2014-South Sydney,def_w_post_%,0.5
2015-North Queensland,def_w_post_%,0.57
2016-Cronulla,def_w_post_%,0.57
