referee,team,with,without,difference
G. Sutton,Brisbane,0.5476190476190477,0.5758293838862559,-2.821033626720826
M. Cecchin,Brisbane,0.48717948717948717,0.5811764705882353,-9.399698340874812
J. Maxwell,Brisbane,0.6052631578947368,0.5618279569892473,4.343520090548958
G. Badger,Brisbane,0.5675675675675675,0.5656836461126006,0.18839214549669636
B. Cummins,Brisbane,0.6111111111111112,0.5700934579439252,4.1017653167185975
A. Klein,Brisbane,0.6,0.571753986332574,2.824601366742596
S. Hayne,Brisbane,0.5,0.5357142857142857,-3.57142857142857
C. James,Brisbane,0.5,0.5743589743589743,-7.435897435897432
A. Shortall,Brisbane,0.5,0.5743589743589743,-7.435897435897432
G. Reynolds,Brisbane,0.6666666666666666,0.5813953488372093,8.52713178294573
T. Archer,Brisbane,0.3333333333333333,0.5957446808510638,-26.24113475177305
G. Atkins,Brisbane,0.625,0.5702479338842975,5.475206611570249
M. Cecchin,Melbourne,0.6190476190476191,0.6869158878504673,-6.786826880284824
B. Cummins,Melbourne,0.6756756756756757,0.6812933025404158,-0.56176268647401
A. Klein,Melbourne,0.6470588235294118,0.6834862385321101,-3.6427415002698305
G. Sutton,Melbourne,0.6470588235294118,0.6834862385321101,-3.6427415002698305
S. Hayne,Melbourne,0.6785714285714286,0.648936170212766,2.9635258358662653
A. Shortall,Melbourne,0.64,0.6831460674157304,-4.314606741573035
J. Maxwell,Melbourne,0.5833333333333334,0.6632653061224489,-7.993197278911557
T. Archer,Melbourne,0.625,0.6902173913043478,-6.521739130434778
C. James,Melbourne,0.7142857142857143,0.6556962025316456,5.858951175406868
G. Badger,Melbourne,0.6666666666666666,0.6815144766146993,-1.4847809948032697
A. Devcich,Melbourne,0.8333333333333334,0.6655405405405406,16.77927927927928
H. Perenara,Melbourne,0.625,0.6933333333333334,-6.833333333333336
B. Cummins,Bulldogs,0.5121951219512195,0.5635491606714629,-5.135403872024336
G. Badger,Bulldogs,0.5757575757575758,0.5576470588235294,1.8110516934046417
A. Klein,Bulldogs,0.6666666666666666,0.5505882352941176,11.607843137254903
J. Maxwell,Bulldogs,0.59375,0.5740740740740741,1.967592592592593
M. Cecchin,Bulldogs,0.6129032258064516,0.5550351288056206,5.786809700083106
G. Sutton,Bulldogs,0.5161290322580645,0.5620608899297423,-4.5931857671677845
C. James,Bulldogs,0.6785714285714286,0.5511627906976744,12.740863787375423
A. Shortall,Bulldogs,0.5357142857142857,0.5604651162790698,-2.475083056478411
S. Hayne,Bulldogs,0.5185185185185185,0.5836298932384342,-6.511137471991568
J. Robinson,Bulldogs,0.6111111111111112,0.5769230769230769,3.418803418803429
A. Shortall,Cronulla,0.3783783783783784,0.4552058111380145,-7.6827432759636105
B. Cummins,Cronulla,0.5142857142857142,0.4433734939759036,7.091222030981065
M. Cecchin,Cronulla,0.5625,0.44019138755980863,12.230861244019136
G. Badger,Cronulla,0.3548387096774194,0.45584725536992843,-10.100854569250906
A. Klein,Cronulla,0.43333333333333335,0.45,-1.6666666666666663
G. Sutton,Cronulla,0.4827586206896552,0.44655581947743467,3.6202801212220526
C. James,Cronulla,0.391304347826087,0.4519906323185012,-6.0686284492414195
J. Robinson,Cronulla,0.4090909090909091,0.3705357142857143,3.8555194805194812
H. Perenara,Cronulla,0.5238095238095238,0.5368421052631579,-1.3032581453634062
A. Devcich,Cronulla,0.45,0.4894366197183099,-3.943661971830986
G. Badger,Warriors,0.4838709677419355,0.4209245742092457,6.294639353268977
A. Klein,Warriors,0.36666666666666664,0.42961165048543687,-6.294498381877023
C. James,Warriors,0.4074074074074074,0.444141689373297,-3.6734281965889624
M. Cecchin,Warriors,0.38461538461538464,0.42788461538461536,-4.326923076923073
A. Shortall,Warriors,0.32,0.4316546762589928,-11.165467625899279
G. Reynolds,Warriors,0.4166666666666667,0.425,-0.8333333333333304
J. Maxwell,Warriors,0.391304347826087,0.444743935309973,-5.343958748388605
B. Cummins,Warriors,0.391304347826087,0.42720763723150357,-3.590328940541659
A. Devcich,Warriors,0.3684210526315789,0.44533333333333336,-7.691228070175443
H. Perenara,Warriors,0.5263157894736842,0.38661710037174724,13.969868910193695
D. Munro,Warriors,0.4444444444444444,0.3925925925925926,5.185185185185182
G. Sutton,Warriors,0.6666666666666666,0.4308510638297872,23.581560283687942
B. Suttor,Warriors,0.6470588235294118,0.44483985765124556,20.221896587816623
T. Archer,Warriors,0.1875,0.46774193548387094,-28.024193548387093
S. Lyons,Warriors,0.5625,0.43548387096774194,12.701612903225806
G. Badger,Gold Coast Titans,0.32432432432432434,0.43950617283950616,-11.518184851518182
A. Shortall,Gold Coast Titans,0.5277777777777778,0.4211822660098522,10.659551176792558
J. Maxwell,Gold Coast Titans,0.3793103448275862,0.4520547945205479,-7.274444969296173
C. James,Gold Coast Titans,0.5,0.4251207729468599,7.487922705314009
A. Klein,Gold Coast Titans,0.375,0.43301435406698563,-5.8014354066985625
B. Cummins,Gold Coast Titans,0.5,0.4261904761904762,7.380952380952382
M. Cecchin,Gold Coast Titans,0.5,0.4261904761904762,7.380952380952382
H. Perenara,Gold Coast Titans,0.5263157894736842,0.36363636363636365,16.267942583732054
G. Sutton,Gold Coast Titans,0.42105263157894735,0.448,-2.694736842105266
G. Atkins,Gold Coast Titans,0.3333333333333333,0.39285714285714285,-5.952380952380953
D. Munro,Gold Coast Titans,0.47058823529411764,0.367601246105919,10.298698918819865
S. Lyons,Gold Coast Titans,0.5882352941176471,0.46994535519125685,11.828993892639023
G. Reynolds,Gold Coast Titans,0.4117647058823529,0.3707165109034268,4.104819497892614
J. Robinson,Gold Coast Titans,0.3125,0.45,-13.750000000000002
M. Cecchin,Sydney,0.6428571428571429,0.5119047619047619,13.095238095238104
B. Cummins,Sydney,0.45714285714285713,0.5292740046838408,-7.213114754098365
A. Klein,Sydney,0.5666666666666667,0.5208333333333334,4.583333333333329
G. Badger,Sydney,0.5,0.5253456221198156,-2.5345622119815614
A. Shortall,Sydney,0.6071428571428571,0.5184331797235023,8.870967741935477
J. Maxwell,Sydney,0.5,0.5026178010471204,-0.2617801047120394
G. Sutton,Sydney,0.5555555555555556,0.5218390804597701,3.371647509578546
C. James,Sydney,0.5217391304347826,0.5239179954441914,-0.21788650094087814
S. Hayne,Sydney,0.5652173913043478,0.5017543859649123,6.34630053394355
A. Devcich,Sydney,0.3888888888888889,0.5494186046511628,-16.05297157622739
H. Perenara,Sydney,0.5294117647058824,0.5542521994134897,-2.484043470760733
G. Morris,Sydney,0.75,0.5702479338842975,17.97520661157025
G. Atkins,Sydney,0.5625,0.5526315789473685,0.9868421052631526
G. Reynolds,Sydney,0.5,0.5555555555555556,-5.555555555555558
G. Badger,Wests Tigers,0.36363636363636365,0.44987775061124696,-8.624138697488332
J. Maxwell,Wests Tigers,0.4666666666666667,0.46153846153846156,0.512820512820511
M. Cecchin,Wests Tigers,0.4482758620689655,0.4430992736077482,0.5176588461217324
A. Klein,Wests Tigers,0.5357142857142857,0.43719806763285024,9.851621808143546
A. Shortall,Wests Tigers,0.5185185185185185,0.43855421686746987,7.9964301651048615
B. Cummins,Wests Tigers,0.32,0.45083932853717024,-13.083932853717023
G. Sutton,Wests Tigers,0.52,0.43884892086330934,8.115107913669068
S. Hayne,Wests Tigers,0.43478260869565216,0.48727272727272725,-5.249011857707508
C. James,Wests Tigers,0.45,0.4358288770053476,1.4171122994652396
T. Archer,Wests Tigers,0.5789473684210527,0.5409836065573771,3.796376186367556
J. Robinson,Wests Tigers,0.5,0.4956896551724138,0.4310344827586188
H. Perenara,Wests Tigers,0.29411764705882354,0.3800738007380074,-8.595615367918386
B. Cummins,South Sydney,0.5277777777777778,0.5241545893719807,0.36231884057971175
A. Klein,South Sydney,0.47058823529411764,0.5288461538461539,-5.825791855203621
